numero;arquivo;classe;classe_nome;severidade;carga_hp;rpm_nominal;rpm_medido;fs_origem_hz;amostras;duracao_s;canal_lido;canal_esperado;leitura_correta;rms_g;curtose;fator_crista;energia_acima_500hz_pct;envelope_bpfx;frequencia_defeito_hz
97;97.mat;0;normal;;0;1797;1796;48000;243938;5,082;X097_DE_time;X097_DE_time;sim;0,073764;-0,24;4,22;91,6;;0,0
98;98.mat;0;normal;;1;1772;;48000;483903;10,081;X098_DE_time;X098_DE_time;sim;0,066352;-0,07;5,21;74,9;;0,0
99;99.mat;0;normal;;2;1750;;48000;483903;10,081;X098_DE_time;X099_DE_time;nao;0,066352;-0,07;5,21;74,9;;0,0
100;100.mat;0;normal;;3;1730;1725;48000;485643;10,118;X100_DE_time;X100_DE_time;sim;0,065884;-0,04;4,65;83,1;;0,0
105;105.mat;1;pista interna;0,007 pol;0;1797;1797;12000;121265;10,105;X105_DE_time;X105_DE_time;sim;0,291526;2,40;5,97;99,1;4551,0;162,2
106;106.mat;1;pista interna;0,007 pol;1;1772;1772;12000;121991;10,166;X106_DE_time;X106_DE_time;sim;0,292892;2,54;5,40;99,4;5365,4;159,9
107;107.mat;1;pista interna;0,007 pol;2;1750;1748;12000;122136;10,178;X107_DE_time;X107_DE_time;sim;0,299510;2,56;5,47;99,5;5632,7;157,9
108;108.mat;1;pista interna;0,007 pol;3;1730;1721;12000;122917;10,243;X108_DE_time;X108_DE_time;sim;0,313607;2,29;5,33;99,6;3670,8;156,1
169;169.mat;1;pista interna;0,014 pol;0;1797;1796;12000;121846;10,154;X169_DE_time;X169_DE_time;sim;0,197830;18,96;10,16;98,5;1264,2;162,2
170;170.mat;1;pista interna;0,014 pol;1;1772;1774;12000;121846;10,154;X170_DE_time;X170_DE_time;sim;0,165514;19,08;12,27;98,1;643,0;159,9
171;171.mat;1;pista interna;0,014 pol;2;1750;1752;12000;121846;10,154;X171_DE_time;X171_DE_time;sim;0,163067;18,69;11,53;98,5;608,2;157,9
172;172.mat;1;pista interna;0,014 pol;3;1730;1728;12000;121701;10,142;X172_DE_time;X172_DE_time;sim;0,180786;15,16;11,76;98,8;513,1;156,1
209;209.mat;1;pista interna;0,021 pol;0;1797;1797;12000;122136;10,178;X209_DE_time;X209_DE_time;sim;0,525373;4,45;7,21;97,6;2860,5;162,2
210;210.mat;1;pista interna;0,021 pol;1;1772;1774;12000;121556;10,130;X210_DE_time;X210_DE_time;sim;0,441838;4,67;8,34;98,3;1815,1;159,9
211;211.mat;1;pista interna;0,021 pol;2;1750;1752;12000;121846;10,154;X211_DE_time;X211_DE_time;sim;0,488864;5,06;7,41;98,8;1554,5;157,9
212;212.mat;1;pista interna;0,021 pol;3;1730;1728;12000;121991;10,166;X212_DE_time;X212_DE_time;sim;0,448734;5,35;8,06;98,8;1138,0;156,1
130;130.mat;2;pista externa;0,007 pol;0;1797;1796;12000;121991;10,166;X130_DE_time;X130_DE_time;sim;0,669506;4,65;5,42;99,9;41565,4;107,4
131;131.mat;2;pista externa;0,007 pol;1;1772;1773;12000;122426;10,202;X131_DE_time;X131_DE_time;sim;0,591947;4,59;5,26;99,8;20980,0;105,9
132;132.mat;2;pista externa;0,007 pol;2;1750;1750;12000;121410;10,117;X132_DE_time;X132_DE_time;sim;0,570170;4,85;5,44;99,9;18332,6;104,6
133;133.mat;2;pista externa;0,007 pol;3;1730;1725;12000;122571;10,214;X133_DE_time;X133_DE_time;sim;0,580395;4,96;5,58;99,9;18879,2;103,4
197;197.mat;2;pista externa;0,014 pol;0;1797;1796;12000;121846;10,154;X197_DE_time;X197_DE_time;sim;0,100679;0,06;5,47;96,0;5,6;107,4
198;198.mat;2;pista externa;0,014 pol;1;1772;1772;12000;122136;10,178;X198_DE_time;X198_DE_time;sim;0,093579;-0,06;4,29;95,2;6,7;105,9
199;199.mat;2;pista externa;0,014 pol;2;1750;1749;12000;121846;10,154;X199_DE_time;X199_DE_time;sim;0,096818;0,02;4,93;95,9;6,8;104,6
200;200.mat;2;pista externa;0,014 pol;3;1730;1723;12000;121991;10,166;X200_DE_time;X200_DE_time;sim;0,094715;0,80;7,02;95,8;3,0;103,4
234;234.mat;2;pista externa;0,021 pol;0;1797;1796;12000;122426;10,202;X234_DE_time;X234_DE_time;sim;0,583172;18,01;11,41;99,1;1599,5;107,4
235;235.mat;2;pista externa;0,021 pol;1;1772;1771;12000;121991;10,166;X235_DE_time;X235_DE_time;sim;0,561378;18,97;11,06;99,4;1586,5;105,9
236;236.mat;2;pista externa;0,021 pol;2;1750;1748;12000;122281;10,190;X236_DE_time;X236_DE_time;sim;0,569991;20,16;11,67;99,5;1299,1;104,6
237;237.mat;2;pista externa;0,021 pol;3;1730;1721;12000;121991;10,166;X237_DE_time;X237_DE_time;sim;0,559015;20,54;11,90;99,5;1097,4;103,4
