classe_nome;arquivo;fs_hz;amostra;tempo_s;aceleracao_g
normal;100.mat;48000;0;0,0000000;0,036716
normal;100.mat;48000;1;0,0000208;0,061542
normal;100.mat;48000;2;0,0000417;0,096589
normal;100.mat;48000;3;0,0000625;0,108480
normal;100.mat;48000;4;0,0000833;0,075310
normal;100.mat;48000;5;0,0001042;0,034213
normal;100.mat;48000;6;0,0001250;0,023365
normal;100.mat;48000;7;0,0001458;0,051319
normal;100.mat;48000;8;0,0001667;0,093877
normal;100.mat;48000;9;0,0001875;0,088453
normal;100.mat;48000;10;0,0002083;0,056743
normal;100.mat;48000;11;0,0002292;0,027954
normal;100.mat;48000;12;0,0002500;0,025451
normal;100.mat;48000;13;0,0002708;0,062167
normal;100.mat;48000;14;0,0002917;0,076979
normal;100.mat;48000;15;0,0003125;0,066340
normal;100.mat;48000;16;0,0003333;0,049859
normal;100.mat;48000;17;0,0003542;0,036716
normal;100.mat;48000;18;0,0003750;0,058204
normal;100.mat;48000;19;0,0003958;0,101596
normal;100.mat;48000;20;0,0004167;0,120997
normal;100.mat;48000;21;0,0004375;0,085324
normal;100.mat;48000;22;0,0004583;0,016063
normal;100.mat;48000;23;0,0004792;-0,017732
normal;100.mat;48000;24;0,0005000;0,004798
normal;100.mat;48000;25;0,0005208;0,047147
normal;100.mat;48000;26;0,0005417;0,053406
normal;100.mat;48000;27;0,0005625;0,017315
normal;100.mat;48000;28;0,0005833;-0,022322
normal;100.mat;48000;29;0,0006042;-0,058204
normal;100.mat;48000;30;0,0006250;-0,060081
normal;100.mat;48000;31;0,0006458;-0,054031
normal;100.mat;48000;32;0,0006667;-0,069678
normal;100.mat;48000;33;0,0006875;-0,077396
normal;100.mat;48000;34;0,0007083;-0,070929
normal;100.mat;48000;35;0,0007292;-0,027120
normal;100.mat;48000;36;0,0007500;0,032753
normal;100.mat;48000;37;0,0007708;0,070929
normal;100.mat;48000;38;0,0007917;0,052988
normal;100.mat;48000;39;0,0008125;-0,010014
normal;100.mat;48000;40;0,0008333;-0,054449
normal;100.mat;48000;41;0,0008542;-0,068426
normal;100.mat;48000;42;0,0008750;-0,048607
normal;100.mat;48000;43;0,0008958;-0,047147
normal;100.mat;48000;44;0,0009167;-0,074267
normal;100.mat;48000;45;0,0009375;-0,093251
normal;100.mat;48000;46;0,0009583;-0,105977
normal;100.mat;48000;47;0,0009792;-0,074684
normal;100.mat;48000;48;0,0010000;-0,031710
normal;100.mat;48000;49;0,0010208;-0,015229
normal;100.mat;48000;50;0,0010417;-0,025660
normal;100.mat;48000;51;0,0010625;-0,055492
normal;100.mat;48000;52;0,0010833;-0,030875
normal;100.mat;48000;53;0,0011042;0,034004
normal;100.mat;48000;54;0,0011250;0,083655
normal;100.mat;48000;55;0,0011458;0,088870
normal;100.mat;48000;56;0,0011667;0,056952
normal;100.mat;48000;57;0,0011875;0,052780
normal;100.mat;48000;58;0,0012083;0,067591
normal;100.mat;48000;59;0,0012292;0,080317
normal;100.mat;48000;60;0,0012500;0,079691
normal;100.mat;48000;61;0,0012708;0,047356
normal;100.mat;48000;62;0,0012917;0,000834
normal;100.mat;48000;63;0,0013125;-0,018567
normal;100.mat;48000;64;0,0013333;-0,012726
normal;100.mat;48000;65;0,0013542;-0,008970
normal;100.mat;48000;66;0,0013750;-0,030458
normal;100.mat;48000;67;0,0013958;-0,084489
normal;100.mat;48000;68;0,0014167;-0,116825
normal;100.mat;48000;69;0,0014375;-0,092834
normal;100.mat;48000;70;0,0014583;-0,045478
normal;100.mat;48000;71;0,0014792;-0,008762
normal;100.mat;48000;72;0,0015000;0,012934
normal;100.mat;48000;73;0,0015208;0,003964
normal;100.mat;48000;74;0,0015417;0,005007
normal;100.mat;48000;75;0,0015625;0,025242
normal;100.mat;48000;76;0,0015833;0,039846
normal;100.mat;48000;77;0,0016042;0,046938
normal;100.mat;48000;78;0,0016250;-0,003338
normal;100.mat;48000;79;0,0016458;-0,062793
normal;100.mat;48000;80;0,0016667;-0,095337
normal;100.mat;48000;81;0,0016875;-0,086575
normal;100.mat;48000;82;0,0017083;-0,037134
normal;100.mat;48000;83;0,0017292;-0,013143
normal;100.mat;48000;84;0,0017500;-0,012100
normal;100.mat;48000;85;0,0017708;-0,032335
normal;100.mat;48000;86;0,0017917;-0,021905
normal;100.mat;48000;87;0,0018125;0,032544
normal;100.mat;48000;88;0,0018333;0,071972
normal;100.mat;48000;89;0,0018542;0,077396
normal;100.mat;48000;90;0,0018750;0,035047
normal;100.mat;48000;91;0,0018958;0,000000
normal;100.mat;48000;92;0,0019167;0,003338
normal;100.mat;48000;93;0,0019375;0,028580
normal;100.mat;48000;94;0,0019583;0,053197
normal;100.mat;48000;95;0,0019792;0,035465
normal;100.mat;48000;96;0,0020000;-0,015020
normal;100.mat;48000;97;0,0020208;-0,048607
normal;100.mat;48000;98;0,0020417;-0,031292
normal;100.mat;48000;99;0,0020625;0,005841
normal;100.mat;48000;100;0,0020833;0,017941
normal;100.mat;48000;101;0,0021042;-0,006676
normal;100.mat;48000;102;0,0021250;-0,053823
normal;100.mat;48000;103;0,0021458;-0,073641
normal;100.mat;48000;104;0,0021667;-0,049025
normal;100.mat;48000;105;0,0021875;-0,010014
normal;100.mat;48000;106;0,0022083;0,009805
normal;100.mat;48000;107;0,0022292;0,000209
normal;100.mat;48000;108;0,0022500;-0,013977
normal;100.mat;48000;109;0,0022708;-0,004798
normal;100.mat;48000;110;0,0022917;0,027537
normal;100.mat;48000;111;0,0023125;0,038385
normal;100.mat;48000;112;0,0023333;-0,002295
normal;100.mat;48000;113;0,0023542;-0,070095
normal;100.mat;48000;114;0,0023750;-0,108689
normal;100.mat;48000;115;0,0023958;-0,072181
normal;100.mat;48000;116;0,0024167;-0,003546
normal;100.mat;48000;117;0,0024375;0,041514
normal;100.mat;48000;118;0,0024583;0,049442
normal;100.mat;48000;119;0,0024792;0,020653
normal;100.mat;48000;120;0,0025000;0,005424
normal;100.mat;48000;121;0,0025208;0,032544
normal;100.mat;48000;122;0,0025417;0,080734
normal;100.mat;48000;123;0,0025625;0,105559
normal;100.mat;48000;124;0,0025833;0,089079
normal;100.mat;48000;125;0,0026042;0,059873
normal;100.mat;48000;126;0,0026250;0,069678
normal;100.mat;48000;127;0,0026458;0,126421
normal;100.mat;48000;128;0,0026667;0,181078
normal;100.mat;48000;129;0,0026875;0,202983
normal;100.mat;48000;130;0,0027083;0,173777
normal;100.mat;48000;131;0,0027292;0,145196
normal;100.mat;48000;132;0,0027500;0,142067
normal;100.mat;48000;133;0,0027708;0,136017
normal;100.mat;48000;134;0,0027917;0,121623
normal;100.mat;48000;135;0,0028125;0,081569
normal;100.mat;48000;136;0,0028333;0,025451
normal;100.mat;48000;137;0,0028542;-0,001252
normal;100.mat;48000;138;0,0028750;0,033796
normal;100.mat;48000;139;0,0028958;0,107020
normal;100.mat;48000;140;0,0029167;0,153332
normal;100.mat;48000;141;0,0029375;0,142484
normal;100.mat;48000;142;0,0029583;0,119119
normal;100.mat;48000;143;0,0029792;0,110358
normal;100.mat;48000;144;0,0030000;0,125795
normal;100.mat;48000;145;0,0030208;0,124126
normal;100.mat;48000;146;0,0030417;0,075519
normal;100.mat;48000;147;0,0030625;0,003546
normal;100.mat;48000;148;0,0030833;-0,064462
normal;100.mat;48000;149;0,0031042;-0,073850
normal;100.mat;48000;150;0,0031250;-0,021279
normal;100.mat;48000;151;0,0031458;0,052988
normal;100.mat;48000;152;0,0031667;0,073641
normal;100.mat;48000;153;0,0031875;0,035673
normal;100.mat;48000;154;0,0032083;0,007719
normal;100.mat;48000;155;0,0032292;0,007510
normal;100.mat;48000;156;0,0032500;0,020444
normal;100.mat;48000;157;0,0032708;0,014186
normal;100.mat;48000;158;0,0032917;-0,026703
normal;100.mat;48000;159;0,0033125;-0,065922
normal;100.mat;48000;160;0,0033333;-0,048607
normal;100.mat;48000;161;0,0033542;0,026286
normal;100.mat;48000;162;0,0033750;0,104516
normal;100.mat;48000;163;0,0033958;0,141024
normal;100.mat;48000;164;0,0034167;0,110983
normal;100.mat;48000;165;0,0034375;0,036299
normal;100.mat;48000;166;0,0034583;-0,027954
normal;100.mat;48000;167;0,0034792;-0,059247
normal;100.mat;48000;168;0,0035000;-0,078648
normal;100.mat;48000;169;0,0035208;-0,124126
normal;100.mat;48000;170;0,0035417;-0,182747
normal;100.mat;48000;171;0,0035625;-0,206946
normal;100.mat;48000;172;0,0035833;-0,162929
normal;100.mat;48000;173;0,0036042;-0,074267
normal;100.mat;48000;174;0,0036250;-0,008970
normal;100.mat;48000;175;0,0036458;-0,006467
normal;100.mat;48000;176;0,0036667;-0,056118
normal;100.mat;48000;177;0,0036875;-0,090330
normal;100.mat;48000;178;0,0037083;-0,086993
normal;100.mat;48000;179;0,0037292;-0,066340
normal;100.mat;48000;180;0,0037500;-0,061959
normal;100.mat;48000;181;0,0037708;-0,107854
normal;100.mat;48000;182;0,0037917;-0,152706
normal;100.mat;48000;183;0,0038125;-0,148117
normal;100.mat;48000;184;0,0038333;-0,084072
normal;100.mat;48000;185;0,0038542;-0,013560
normal;100.mat;48000;186;0,0038750;-0,007302
normal;100.mat;48000;187;0,0038958;-0,040263
normal;100.mat;48000;188;0,0039167;-0,067800
normal;100.mat;48000;189;0,0039375;-0,052571
normal;100.mat;48000;190;0,0039583;-0,007927
normal;100.mat;48000;191;0,0039792;0,002503
normal;100.mat;48000;192;0,0040000;-0,039637
normal;100.mat;48000;193;0,0040208;-0,093251
normal;100.mat;48000;194;0,0040417;-0,116407
normal;100.mat;48000;195;0,0040625;-0,090748
normal;100.mat;48000;196;0,0040833;-0,027329
normal;100.mat;48000;197;0,0041042;0,018358
normal;100.mat;48000;198;0,0041250;0,017941
normal;100.mat;48000;199;0,0041458;-0,001878
normal;100.mat;48000;200;0,0041667;-0,003755
normal;100.mat;48000;201;0,0041875;0,018358
normal;100.mat;48000;202;0,0042083;0,038177
normal;100.mat;48000;203;0,0042292;0,013769
normal;100.mat;48000;204;0,0042500;-0,052154
normal;100.mat;48000;205;0,0042708;-0,108689
normal;100.mat;48000;206;0,0042917;-0,102013
normal;100.mat;48000;207;0,0043125;-0,027954
normal;100.mat;48000;208;0,0043333;0,040889
normal;100.mat;48000;209;0,0043542;0,070095
normal;100.mat;48000;210;0,0043750;0,048399
normal;100.mat;48000;211;0,0043958;0,005841
normal;100.mat;48000;212;0,0044167;-0,012100
normal;100.mat;48000;213;0,0044375;-0,026286
normal;100.mat;48000;214;0,0044583;-0,043601
normal;100.mat;48000;215;0,0044792;-0,091374
normal;100.mat;48000;216;0,0045000;-0,139564
normal;100.mat;48000;217;0,0045208;-0,114113
normal;100.mat;48000;218;0,0045417;-0,016272
normal;100.mat;48000;219;0,0045625;0,099301
normal;100.mat;48000;220;0,0045833;0,146865
normal;100.mat;48000;221;0,0046042;0,120162
normal;100.mat;48000;222;0,0046250;0,074893
normal;100.mat;48000;223;0,0046458;0,054240
normal;100.mat;48000;224;0,0046667;0,063210
normal;100.mat;48000;225;0,0046875;0,076353
normal;100.mat;48000;226;0,0047083;0,054866
normal;100.mat;48000;227;0,0047292;-0,000834
normal;100.mat;48000;228;0,0047500;-0,033170
normal;100.mat;48000;229;0,0047708;-0,010431
normal;100.mat;48000;230;0,0047917;0,065088
normal;100.mat;48000;231;0,0048125;0,115782
normal;100.mat;48000;232;0,0048333;0,101596
normal;100.mat;48000;233;0,0048542;0,053614
normal;100.mat;48000;234;0,0048750;0,017732
normal;100.mat;48000;235;0,0048958;0,048190
normal;100.mat;48000;236;0,0049167;0,088870
normal;100.mat;48000;237;0,0049375;0,091165
normal;100.mat;48000;238;0,0049583;0,039220
normal;100.mat;48000;239;0,0049792;-0,045687
normal;100.mat;48000;240;0,0050000;-0,074893
normal;100.mat;48000;241;0,0050208;-0,035465
normal;100.mat;48000;242;0,0050417;0,037342
normal;100.mat;48000;243;0,0050625;0,074058
normal;100.mat;48000;244;0,0050833;0,068217
normal;100.mat;48000;245;0,0051042;0,057578
normal;100.mat;48000;246;0,0051250;0,056743
normal;100.mat;48000;247;0,0051458;0,077396
normal;100.mat;48000;248;0,0051667;0,058204
normal;100.mat;48000;249;0,0051875;-0,012726
normal;100.mat;48000;250;0,0052083;-0,090956
normal;100.mat;48000;251;0,0052292;-0,131010
normal;100.mat;48000;252;0,0052500;-0,087201
normal;100.mat;48000;253;0,0052708;-0,006050
normal;100.mat;48000;254;0,0052917;0,046313
normal;100.mat;48000;255;0,0053125;0,043601
normal;100.mat;48000;256;0,0053333;0,004590
normal;100.mat;48000;257;0,0053542;-0,008136
normal;100.mat;48000;258;0,0053750;0,023365
normal;100.mat;48000;259;0,0053958;0,060916
normal;100.mat;48000;260;0,0054167;0,051319
normal;100.mat;48000;261;0,0054375;-0,008345
normal;100.mat;48000;262;0,0054583;-0,066757
normal;100.mat;48000;263;0,0054792;-0,065088
normal;100.mat;48000;264;0,0055000;0,012726
normal;100.mat;48000;265;0,0055208;0,090539
normal;100.mat;48000;266;0,0055417;0,106394
normal;100.mat;48000;267;0,0055625;0,059038
normal;100.mat;48000;268;0,0055833;-0,003129
normal;100.mat;48000;269;0,0056042;-0,007927
normal;100.mat;48000;270;0,0056250;0,020653
normal;100.mat;48000;271;0,0056458;0,036090
normal;100.mat;48000;272;0,0056667;0,005215
normal;100.mat;48000;273;0,0056875;-0,049859
normal;100.mat;48000;274;0,0057083;-0,044852
normal;100.mat;48000;275;0,0057292;0,019401
normal;100.mat;48000;276;0,0057500;0,114530
normal;100.mat;48000;277;0,0057708;0,160425
normal;100.mat;48000;278;0,0057917;0,116407
normal;100.mat;48000;279;0,0058125;0,036508
normal;100.mat;48000;280;0,0058333;-0,024199
normal;100.mat;48000;281;0,0058542;-0,004172
normal;100.mat;48000;282;0,0058750;0,032127
normal;100.mat;48000;283;0,0058958;0,032753
normal;100.mat;48000;284;0,0059167;0,000417
normal;100.mat;48000;285;0,0059375;-0,045270
normal;100.mat;48000;286;0,0059583;-0,012726
normal;100.mat;48000;287;0,0059792;0,058830
normal;100.mat;48000;288;0,0060000;0,112652
normal;100.mat;48000;289;0,0060208;0,115364
normal;100.mat;48000;290;0,0060417;0,059455
normal;100.mat;48000;291;0,0060625;0,030666
normal;100.mat;48000;292;0,0060833;0,055492
normal;100.mat;48000;293;0,0061042;0,108480
normal;100.mat;48000;294;0,0061250;0,104099
normal;100.mat;48000;295;0,0061458;0,034839
normal;100.mat;48000;296;0,0061667;-0,034839
normal;100.mat;48000;297;0,0061875;-0,060081
normal;100.mat;48000;298;0,0062083;-0,015855
normal;100.mat;48000;299;0,0062292;0,031501
normal;100.mat;48000;300;0,0062500;0,066966
normal;100.mat;48000;301;0,0062708;0,066340
normal;100.mat;48000;302;0,0062917;0,031918
normal;100.mat;48000;303;0,0063125;0,047773
normal;100.mat;48000;304;0,0063333;0,088662
normal;100.mat;48000;305;0,0063542;0,093251
normal;100.mat;48000;306;0,0063750;0,033170
normal;100.mat;48000;307;0,0063958;-0,059873
normal;100.mat;48000;308;0,0064167;-0,115782
normal;100.mat;48000;309;0,0064375;-0,114113
normal;100.mat;48000;310;0,0064583;-0,058621
normal;100.mat;48000;311;0,0064792;-0,012308
normal;100.mat;48000;312;0,0065000;-0,020444
normal;100.mat;48000;313;0,0065208;-0,052154
normal;100.mat;48000;314;0,0065417;-0,075727
normal;100.mat;48000;315;0,0065625;-0,056118
normal;100.mat;48000;316;0,0065833;-0,026286
normal;100.mat;48000;317;0,0066042;-0,020236
normal;100.mat;48000;318;0,0066250;-0,048190
normal;100.mat;48000;319;0,0066458;-0,080526
normal;100.mat;48000;320;0,0066667;-0,046104
normal;100.mat;48000;321;0,0066875;0,019401
normal;100.mat;48000;322;0,0067083;0,089496
normal;100.mat;48000;323;0,0067292;0,101178
normal;100.mat;48000;324;0,0067500;0,054657
normal;100.mat;48000;325;0,0067708;0,013977
normal;100.mat;48000;326;0,0067917;-0,020236
normal;100.mat;48000;327;0,0068125;0,006676
normal;100.mat;48000;328;0,0068333;0,025868
normal;100.mat;48000;329;0,0068542;0,000834
normal;100.mat;48000;330;0,0068750;-0,042140
normal;100.mat;48000;331;0,0068958;-0,066757
normal;100.mat;48000;332;0,0069167;-0,002921
normal;100.mat;48000;333;0,0069375;0,067800
normal;100.mat;48000;334;0,0069583;0,100135
normal;100.mat;48000;335;0,0069792;0,096172
normal;100.mat;48000;336;0,0070000;0,075102
normal;100.mat;48000;337;0,0070208;0,078022
normal;100.mat;48000;338;0,0070417;0,097632
normal;100.mat;48000;339;0,0070625;0,134974
normal;100.mat;48000;340;0,0070833;0,121206
normal;100.mat;48000;341;0,0071042;0,034839
normal;100.mat;48000;342;0,0071250;-0,047982
normal;100.mat;48000;343;0,0071458;-0,073641
normal;100.mat;48000;344;0,0071667;-0,043809
normal;100.mat;48000;345;0,0071875;-0,018150
normal;100.mat;48000;346;0,0072083;-0,017315
normal;100.mat;48000;347;0,0072292;-0,047982
normal;100.mat;48000;348;0,0072500;-0,058204
normal;100.mat;48000;349;0,0072708;-0,005633
normal;100.mat;48000;350;0,0072917;0,059038
normal;100.mat;48000;351;0,0073125;0,089496
normal;100.mat;48000;352;0,0073333;0,037134
normal;100.mat;48000;353;0,0073542;-0,052154
normal;100.mat;48000;354;0,0073750;-0,100344
normal;100.mat;48000;355;0,0073958;-0,093042
normal;100.mat;48000;356;0,0074167;-0,042140
normal;100.mat;48000;357;0,0074375;0,007302
normal;100.mat;48000;358;0,0074583;0,017315
normal;100.mat;48000;359;0,0074792;0,003964
normal;100.mat;48000;360;0,0075000;0,024617
normal;100.mat;48000;361;0,0075208;0,075727
normal;100.mat;48000;362;0,0075417;0,111818
normal;100.mat;48000;363;0,0075625;0,101804
normal;100.mat;48000;364;0,0075833;0,038385
normal;100.mat;48000;365;0,0076042;-0,001252
normal;100.mat;48000;366;0,0076250;0,014186
normal;100.mat;48000;367;0,0076458;0,069469
normal;100.mat;48000;368;0,0076667;0,137060
normal;100.mat;48000;369;0,0076875;0,131219
normal;100.mat;48000;370;0,0077083;0,091999
normal;100.mat;48000;371;0,0077292;0,072181
normal;100.mat;48000;372;0,0077500;0,108480
normal;100.mat;48000;373;0,0077708;0,168144
normal;100.mat;48000;374;0,0077917;0,165015
normal;100.mat;48000;375;0,0078125;0,127673
normal;100.mat;48000;376;0,0078333;0,063836
normal;100.mat;48000;377;0,0078542;0,047982
normal;100.mat;48000;378;0,0078750;0,091791
