amostra;tempo_s;normal_g;pista_interna_g;pista_externa_g
0;0,0000;0,070720;0,051223;-0,028008
1;0,0010;-0,019794;0,009318;0,046208
2;0,0020;0,014775;-0,034297;-0,005765
3;0,0030;0,039333;0,056675;-0,010723
4;0,0040;-0,045614;-0,114588;0,035424
5;0,0050;0,034762;0,106413;-0,088809
6;0,0060;0,011469;-0,030576;0,097574
7;0,0070;0,020007;0,038627;-0,081137
8;0,0080;0,050077;0,000892;0,082633
9;0,0090;-0,020494;-0,059876;-0,038198
10;0,0100;0,006828;0,066390;0,020083
11;0,0110;0,004269;-0,048376;0,011136
12;0,0120;0,023045;0,033015;-0,064515
13;0,0130;0,000551;-0,001163;0,065056
14;0,0140;0,044290;0,010837;-0,026476
15;0,0150;0,004635;-0,010648;0,038193
16;0,0160;0,023378;-0,002793;-0,027489
17;0,0170;0,021417;0,000691;0,025457
18;0,0180;-0,036152;0,007798;-0,021230
19;0,0190;0,014925;0,054742;-0,000941
20;0,0200;0,045016;-0,063712;0,002163
21;0,0210;-0,017606;0,050559;0,029598
22;0,0220;0,072773;-0,033660;-0,054142
23;0,0230;-0,020727;0,017481;0,133338
24;0,0240;0,005672;0,003501;-0,116734
25;0,0250;0,006347;0,011590;0,091281
26;0,0260;-0,006822;0,002486;-0,064307
27;0,0270;0,046932;-0,009234;0,024911
28;0,0280;0,037092;0,049617;0,033913
29;0,0290;-0,024396;-0,090458;-0,023975
30;0,0300;0,014401;0,097364;0,045713
31;0,0310;0,006078;-0,073969;-0,067129
32;0,0320;0,006464;0,037263;0,031454
33;0,0330;0,055946;0,028451;-0,034151
34;0,0340;-0,007242;-0,027834;0,042446
35;0,0350;0,004446;0,021501;0,009140
36;0,0360;0,036019;-0,027519;0,016966
37;0,0370;-0,044133;0,025950;-0,028667
38;0,0380;0,031850;-0,003407;-0,002292
39;0,0390;0,038895;0,047615;-0,027162
40;0,0400;-0,001082;-0,051445;0,048314
41;0,0410;0,034363;-0,001008;-0,027176
42;0,0420;-0,004197;0,018165;0,040788
43;0,0430;-0,009949;-0,024332;-0,031813
44;0,0440;0,026954;0,059819;0,022648
45;0,0450;0,003545;-0,014874;-0,020689
46;0,0460;0,002759;0,010745;0,029924
47;0,0470;0,044550;-0,036552;-0,018326
48;0,0480;0,006581;0,024371;0,015494
49;0,0490;0,004867;-0,062709;-0,008956
50;0,0500;0,023222;0,061928;0,019300
51;0,0510;-0,007774;0,039910;-0,046977
52;0,0520;-0,011169;-0,021426;0,073771
53;0,0530;0,064210;0,020894;-0,021625
54;0,0540;-0,028629;-0,062174;0,028228
55;0,0550;0,038231;0,046383;-0,007363
56;0,0560;0,032451;-0,029215;-0,010495
57;0,0570;-0,041676;0,024076;0,001061
58;0,0580;0,050079;0,028545;0,001414
59;0,0590;0,000886;-0,006172;0,010281
60;0,0600;0,002079;0,034848;-0,004116
61;0,0610;0,039257;-0,109698;0,022611
62;0,0620;-0,014459;0,118488;0,003205
63;0,0630;0,010234;-0,102113;-0,018270
64;0,0640;0,025753;0,114130;0,010230
65;0,0650;0,012539;-0,061609;-0,026133
66;0,0660;0,035697;0,051954;0,027256
67;0,0670;0,004818;-0,023271;0,015071
68;0,0680;-0,025365;-0,031270;-0,019538
69;0,0690;0,019864;0,032489;0,029420
70;0,0700;0,021738;-0,020114;-0,060836
71;0,0710;0,017776;0,057325;0,059583
72;0,0720;0,039049;-0,007450;-0,056563
73;0,0730;-0,018660;-0,021129;0,082465
74;0,0740;0,017320;0,010696;-0,046625
75;0,0750;0,009187;-0,035628;0,031713
76;0,0760;-0,016025;0,040846;-0,052149
77;0,0770;0,036373;0,013874;0,008069
78;0,0780;0,026414;0,018976;0,037047
79;0,0790;0,002289;-0,042254;0,006308
80;0,0800;0,019750;0,011956;0,001528
81;0,0810;-0,005178;-0,008693;-0,008110
82;0,0820;0,002757;0,002376;0,006733
83;0,0830;0,031895;0,030119;-0,024240
84;0,0840;0,016857;-0,016722;0,022392
85;0,0850;-0,014214;0,032904;0,002799
86;0,0860;0,059757;-0,020374;0,008783
87;0,0870;-0,021984;-0,011655;0,022875
88;0,0880;-0,009297;0,012636;-0,039641
89;0,0890;0,043997;0,013546;0,036896
90;0,0900;-0,035051;0,000485;-0,092207
91;0,0910;0,064598;-0,012539;0,154563
92;0,0920;0,010781;0,058595;-0,085800
93;0,0930;-0,006109;-0,092514;0,139618
94;0,0940;0,019305;0,123789;-0,114867
95;0,0950;-0,004459;-0,089283;0,085220
96;0,0960;-0,020223;0,033336;-0,083574
97;0,0970;0,064825;0,013857;0,035019
98;0,0980;0,013959;-0,008987;0,009934
99;0,0990;0,016268;0,022920;0,002850
100;0,1000;0,014322;-0,034654;0,024410
101;0,1010;-0,030059;0,043460;-0,014142
102;0,1020;0,008147;-0,040784;0,009074
103;0,1030;0,040412;0,073292;-0,048879
104;0,1040;-0,004508;-0,059890;0,042971
105;0,1050;0,043039;0,029064;-0,016803
106;0,1060;0,018527;0,006222;0,053503
107;0,1070;-0,047520;-0,060999;-0,038945
108;0,1080;0,044837;0,096012;0,008950
109;0,1090;-0,003947;-0,044845;-0,039544
110;0,1100;0,000364;0,067648;0,038947
111;0,1110;0,070121;-0,064323;0,001517
112;0,1120;-0,042642;0,000315;0,023296
113;0,1130;0,033735;0,008156;-0,004736
114;0,1140;0,011771;-0,011072;-0,019634
115;0,1150;-0,008271;0,040433;0,003880
116;0,1160;0,015988;0,002735;-0,004068
117;0,1170;0,021363;0,010222;0,022201
118;0,1180;0,006419;-0,031206;0,011351
119;0,1190;0,014017;0,006466;-0,027685
120;0,1200;0,025593;-0,035931;0,048087
121;0,1210;-0,033346;0,071442;-0,020520
122;0,1220;0,035482;0,005205;-0,011232
123;0,1230;0,006658;-0,024478;0,036549
124;0,1240;-0,003136;0,022734;-0,034002
125;0,1250;0,059577;-0,031723;0,034111
126;0,1260;-0,013132;0,016166;-0,018465
127;0,1270;-0,001749;-0,000556;0,018635
128;0,1280;0,018170;0,022574;0,003367
129;0,1290;-0,015930;-0,005033;-0,005752
130;0,1300;0,044893;0,021967;-0,018890
131;0,1310;0,009314;-0,018337;0,027438
132;0,1320;0,007928;-0,043516;0,006989
133;0,1330;0,016556;0,086577;-0,007066
134;0,1340;-0,007935;-0,081740;0,013785
135;0,1350;-0,007814;0,094067;-0,023242
136;0,1360;0,047859;-0,033903;0,009197
137;0,1370;-0,004989;0,018473;0,015071
138;0,1380;0,010200;-0,037187;-0,024521
139;0,1390;0,020211;0,009575;0,032298
140;0,1400;-0,030333;-0,004030;-0,024355
141;0,1410;0,038792;0,028863;0,003386
142;0,1420;0,029126;0,051873;-0,009070
