amostra;tempo_s;leitura_ingenua_X098_DE_time_g;leitura_corrigida_X099_DE_time_g;diferenca_g
0;0,0000;0,009333;-0,010815;-0,020148
1;0,0010;-0,012543;0,047899;0,060443
2;0,0020;-0,005200;-0,031689;-0,026488
3;0,0030;0,076407;0,040363;-0,036045
4;0,0040;-0,024715;0,023857;0,048572
5;0,0050;0,012174;-0,016116;-0,028289
6;0,0060;0,036495;0,043287;0,006791
7;0,0070;-0,058968;-0,015341;0,043627
8;0,0080;0,065909;0,007324;-0,058586
9;0,0090;0,032685;0,025202;-0,007483
10;0,0100;-0,053846;0,022802;0,076648
11;0,0110;0,088798;0,005185;-0,083614
12;0,0120;-0,034634;0,021168;0,055802
13;0,0130;-0,012496;-0,024031;-0,011535
14;0,0140;0,065150;0,000399;-0,064751
15;0,0150;-0,036226;0,046473;0,082699
16;0,0160;0,043124;-0,013871;-0,056995
17;0,0170;0,011703;0,064377;0,052674
18;0,0180;-0,005625;-0,004484;0,001141
19;0,0190;0,003698;-0,051441;-0,055140
20;0,0200;0,033205;0,055873;0,022668
21;0,0210;-0,022570;-0,008462;0,014108
22;0,0220;0,042926;-0,006516;-0,049442
23;0,0230;0,021646;0,082159;0,060513
24;0,0240;-0,027987;-0,038409;-0,010422
25;0,0250;0,060293;0,047865;-0,012428
26;0,0260;-0,024805;-0,007634;0,017171
27;0,0270;-0,019905;-0,044146;-0,024241
28;0,0280;0,084054;0,063561;-0,020494
29;0,0290;-0,022487;0,005135;0,027621
30;0,0300;0,043675;0,011029;-0,032646
31;0,0310;-0,013316;0,018085;0,031401
32;0,0320;-0,022676;0,024511;0,047187
33;0,0330;0,041246;-0,036194;-0,077439
34;0,0340;0,007014;0,038785;0,031771
35;0,0350;-0,004684;-0,009366;-0,004681
36;0,0360;0,048856;0,014395;-0,034461
37;0,0370;-0,004844;0,071559;0,076404
38;0,0380;-0,034185;-0,028280;0,005905
39;0,0390;0,058555;0,004770;-0,053785
40;0,0400;-0,012983;0,005195;0,018178
41;0,0410;0,025113;-0,006712;-0,031825
42;0,0420;0,046667;0,056298;0,009631
43;0,0430;-0,056864;0,007464;0,064327
44;0,0440;0,027933;-0,006969;-0,034902
45;0,0450;0,022888;0,023488;0,000600
46;0,0460;-0,017775;-0,009632;0,008143
47;0,0470;0,055184;-0,014764;-0,069948
48;0,0480;0,001469;0,072467;0,070998
49;0,0490;-0,000985;-0,012825;-0,011840
50;0,0500;0,017894;0,009174;-0,008720
51;0,0510;-0,015765;0,035729;0,051495
52;0,0520;-0,001589;-0,060870;-0,059281
53;0,0530;0,035610;0,047922;0,012312
54;0,0540;0,001639;0,030925;0,029285
55;0,0550;0,015425;-0,033792;-0,049217
56;0,0560;0,047231;0,054823;0,007592
57;0,0570;-0,042994;-0,016127;0,026867
58;0,0580;0,005576;0,005222;-0,000354
59;0,0590;0,036674;0,040532;0,003857
60;0,0600;-0,024998;-0,025136;-0,000138
61;0,0610;0,064817;0,004757;-0,060060
62;0,0620;-0,002438;0,029636;0,032074
63;0,0630;-0,011681;-0,003414;0,008267
64;0,0640;0,033154;0,025821;-0,007333
65;0,0650;-0,028939;0,012066;0,041005
66;0,0660;0,036636;-0,003071;-0,039707
67;0,0670;0,031472;-0,004345;-0,035817
68;0,0680;-0,014818;0,039716;0,054534
69;0,0690;-0,001588;-0,034718;-0,033130
70;0,0700;0,026407;0,048659;0,022252
71;0,0710;-0,016649;0,002176;0,018826
72;0,0720;0,052929;-0,010879;-0,063808
73;0,0730;0,020247;0,045091;0,024844
74;0,0740;-0,046010;-0,011386;0,034624
75;0,0750;0,065261;0,016215;-0,049046
